model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
Qwen/Qwen3-0.6B,25843960,1434,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2505.09388,751632384,100M-1B,2025-04-27T03:40:08.000Z,2025-07-26T03:46:27.000Z
facebook/opt-125m,16623231,282,text-generation,Text Generation,transformers,"pytorch, text-generation-inference, transformers",other,2205.01068,,Unknown,2022-05-11T08:25:17.000Z,2023-09-15T13:10:03.000Z
Qwen/Qwen3-8B,16434800,1223,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,8190735360,5B-10B,2025-04-27T03:42:21.000Z,2025-07-26T03:49:13.000Z
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,14718353,16,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers, trl",,,2428632,<100M,2024-11-25T15:06:15.000Z,2025-12-19T19:10:57.000Z
openai-community/gpt2,14134507,3364,text-generation,Text Generation,transformers,"onnx, pytorch, rust, safetensors, text-generation-inference, transformers",mit,,137022720,100M-1B,2022-03-02T23:29:04.000Z,2024-02-19T10:57:45.000Z
Qwen/Qwen2.5-1.5B-Instruct,13190262,780,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2407.10671,1543714304,1B-5B,2024-09-17T14:10:29.000Z,2024-09-25T12:32:50.000Z
Qwen/Qwen2.5-7B-Instruct,11998199,1432,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,7615616512,5B-10B,2024-09-16T11:55:40.000Z,2025-01-12T02:10:10.000Z
meta-llama/Llama-3.2-1B-Instruct,10437944,1539,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.2,2204.05149,1235814400,1B-5B,2024-09-18T15:12:47.000Z,2024-10-24T15:07:51.000Z
deepseek-ai/DeepSeek-R1,9244864,13493,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",mit,2501.12948,684531386000,100B+,2025-01-20T03:46:07.000Z,2025-03-27T04:01:59.000Z
nvidia/Qwen3.6-35B-A3B-NVFP4,8635865,486,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",apache-2.0,,18683860336,10B-20B,2026-05-27T18:09:46.000Z,2026-06-12T21:32:12.000Z
meta-llama/Llama-3.1-8B-Instruct,8365984,6374,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.1,2204.05149,8030261248,5B-10B,2024-07-18T08:56:00.000Z,2024-09-25T17:00:57.000Z
Qwen/Qwen3-32B,8304081,719,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,32762123264,20B-50B,2025-04-27T03:52:59.000Z,2025-07-26T03:45:22.000Z
openai/gpt-oss-20b,7319441,4827,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2508.10925,21511953984,20B-50B,2025-08-04T22:33:29.000Z,2025-08-26T17:25:47.000Z
Qwen/Qwen2.5-3B-Instruct,5895242,539,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",other,2407.10671,3085938688,1B-5B,2024-09-17T14:08:52.000Z,2024-09-25T12:33:00.000Z
Qwen/Qwen3-1.7B,5813667,503,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2505.09388,2031739904,1B-5B,2025-04-27T03:41:05.000Z,2025-07-26T03:46:32.000Z
farbodtavakkoli/OTel-LLM-E4B-IT,5734174,0,text-generation,Text Generation,,pytorch,apache-2.0,,,Unknown,2026-06-17T18:27:16.000Z,2026-06-23T11:58:47.000Z
hmellor/tiny-random-LlamaForCausalLM,5529532,0,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",,1910.09700,1062992,<100M,2025-04-29T21:47:13.000Z,2025-04-29T22:01:04.000Z
Qwen/Qwen2.5-0.5B-Instruct,5211122,561,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2407.10671,494032768,100M-1B,2024-09-16T11:52:46.000Z,2024-09-25T12:32:56.000Z
Qwen/Qwen3-4B,5054798,659,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,4022468096,1B-5B,2025-04-27T03:41:29.000Z,2025-07-26T03:46:39.000Z
dphn/dolphin-2.9.1-yi-1.5-34b,4764426,65,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,34388917248,20B-50B,2024-05-18T04:50:56.000Z,2025-09-08T05:56:56.000Z
Qwen/Qwen3-14B,4460112,430,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,14768307200,10B-20B,2025-04-27T03:42:45.000Z,2025-07-26T03:49:23.000Z
openai/gpt-oss-120b,4367198,5010,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2508.10925,120412337472,100B+,2025-08-04T22:33:06.000Z,2025-08-26T17:25:03.000Z
Qwen/Qwen2.5-7B-Instruct-AWQ,4112241,48,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,7615616512,5B-10B,2024-09-17T13:55:09.000Z,2024-10-09T12:26:45.000Z
google/gemma-3-1b-it,3976211,1060,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",gemma,1905.07830,999885952,100M-1B,2025-03-10T12:09:00.000Z,2025-04-04T13:12:40.000Z
Qwen/Qwen2-1.5B-Instruct,3753732,164,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,1543714304,1B-5B,2024-06-03T09:08:12.000Z,2024-06-06T14:36:57.000Z
Qwen/Qwen3-4B-Instruct-2507,3366285,900,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2505.09388,4022468096,1B-5B,2025-08-05T10:58:03.000Z,2025-09-17T06:56:53.000Z
Qwen/Qwen2.5-14B-Instruct,3299528,354,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,14770033664,10B-20B,2024-09-16T11:56:10.000Z,2024-09-25T12:33:04.000Z
Qwen/Qwen3-30B-A3B,3137246,910,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2309.00071,30532122624,20B-50B,2025-04-27T03:43:05.000Z,2025-07-26T03:45:17.000Z
Qwen/Qwen2.5-Coder-14B-Instruct,3095025,174,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,14770033664,10B-20B,2024-11-06T07:49:46.000Z,2025-01-12T02:02:59.000Z
zai-org/GLM-5.2-FP8,2979751,227,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2602.15763,753375793584,100B+,2026-06-16T07:20:33.000Z,2026-07-02T08:09:27.000Z
deepseek-ai/DeepSeek-V4-Flash,2977209,1794,text-generation,Text Generation,transformers,"safetensors, transformers",mit,2606.19348,158069433298,100B+,2026-04-22T06:04:20.000Z,2026-06-22T12:12:13.000Z
Qwen/Qwen2.5-32B-Instruct,2928553,355,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2309.00071,32763876352,20B-50B,2024-09-17T04:17:55.000Z,2024-09-25T12:33:09.000Z
